album,photo_id,description,views,image,height,width,uploader,year,date
Wygraj Guggenheima,1,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 21-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=1"">jakub_piasecki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 29.21Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1150
</div>",1150,images/photoalbum/a2_photo_1.jpg,300,400,jakub_piasecki,2006,21-11-2006
Wygraj Guggenheima,2,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 21-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=1"">jakub_piasecki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 33.03Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1076
</div>",1076,images/photoalbum/a2_photo_2.jpg,300,400,jakub_piasecki,2006,21-11-2006
Wygraj Guggenheima,3,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 21-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=1"">jakub_piasecki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 38.17Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 979
</div>",979,images/photoalbum/a2_photo_3.jpg,300,400,jakub_piasecki,2006,21-11-2006
Wygraj Guggenheima,4,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 21-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=1"">jakub_piasecki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 39.27Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1017
</div>",1017,images/photoalbum/a2_photo_4.jpg,300,400,jakub_piasecki,2006,21-11-2006
Wygraj Guggenheima,5,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 21-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=1"">jakub_piasecki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 34.84Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 969
</div>",969,images/photoalbum/a2_photo_5.jpg,300,400,jakub_piasecki,2006,21-11-2006
Wygraj Guggenheima,6,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 21-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=1"">jakub_piasecki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 36.89Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 967
</div>",967,images/photoalbum/a2_photo_6.jpg,300,400,jakub_piasecki,2006,21-11-2006
Wygraj Guggenheima,7,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 21-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=1"">jakub_piasecki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 27.55Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 950
</div>",950,images/photoalbum/a2_photo_7.jpg,300,400,jakub_piasecki,2006,21-11-2006
Wygraj Guggenheima,8,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 21-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=1"">jakub_piasecki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 39.46Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 972
</div>",972,images/photoalbum/a2_photo_8.jpg,300,400,jakub_piasecki,2006,21-11-2006
Wygraj Guggenheima,9,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 21-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=1"">jakub_piasecki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 17.6Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 945
</div>",945,images/photoalbum/a2_photo_9.jpg,300,400,jakub_piasecki,2006,21-11-2006
Wygraj Guggenheima,10,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 23-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=1"">jakub_piasecki</a><br>
Wymiary: 400 x 267 pikseli<br>
Rozmiar pliku: 24.45Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 894
</div>",894,images/photoalbum/a2_photo_10.jpg,267,400,jakub_piasecki,2006,23-11-2006
Wygraj Guggenheima,11,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 23-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=1"">jakub_piasecki</a><br>
Wymiary: 400 x 267 pikseli<br>
Rozmiar pliku: 24.04Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1224
</div>",1224,images/photoalbum/a2_photo_11.jpg,267,400,jakub_piasecki,2006,23-11-2006
Wygraj Guggenheima,12,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 23-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=1"">jakub_piasecki</a><br>
Wymiary: 400 x 267 pikseli<br>
Rozmiar pliku: 20.54Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1066
</div>",1066,images/photoalbum/a2_photo_12.jpg,267,400,jakub_piasecki,2006,23-11-2006
Krewniacy,13,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 18-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 300 x 225 pikseli<br>
Rozmiar pliku: 11.52Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 764
</div>",764,images/photoalbum/a3_photo_13.jpg,225,300,witold_gromadzki,2006,18-11-2006
Krewniacy,14,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 18-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 300 x 225 pikseli<br>
Rozmiar pliku: 8.67Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 713
</div>",713,images/photoalbum/a3_photo_14.jpg,225,300,witold_gromadzki,2006,18-11-2006
